phone,screen_size,paresed_price,announced_year,length_mm,width_mm,depth_mm,weight_oz,screen ratio,touchscreen,total_pixels,card_slot,battery_size,bluetooth_m,fast_chaging_power,SAR_EU_head,storage,lens_count,removable_B_Removable,cores_hexa,cores_octa,cores_quad,cores_single,gpu_manufacturer_Broadcom,gpu_manufacturer_Mali,gpu_manufacturer_NO,gpu_manufacturer_PowerVR,gpu_manufacturer_ULP,gpu_manufacturer_Vivante,wlan_ac,wlan_ax,wlan_g,wlan_n,network_g_4g,network_g_5g,network_g_nan
Galaxy J2 Prime,5.0,130,2016,144.8,72.1,8.9,5.64,0.66,1,518400.0,1,2600.0,4,0,0.53,8192.0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0
Galaxy C9 Pro,6.0,380,2016,162.9,80.7,6.9,6.67,0.755,1,2073600.0,1,4000.0,4,1,0.79,65536.0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
Galaxy A8 (2016),5.7,300,2016,156.6,76.8,7.2,6.42,0.745,1,2073600.0,1,3300.0,4,0,0.13,32768.0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
Galaxy On8,5.5,200,2016,151.7,76.0,7.8,5.96,0.723,1,2073600.0,1,3300.0,4,0,0.47,16384.0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
Galaxy On7 (2016),5.5,200,2016,151.7,75.0,8.0,5.89,0.733,1,2073600.0,1,3300.0,4,1,0.5218382352941175,32768.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
Galaxy J5 Prime,5.0,120,2016,142.8,69.5,8.1,5.04,0.6940000000000001,1,921600.0,1,2400.0,4,0,0.42,32768.0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0
Galaxy J7 Prime,5.5,140,2016,151.7,75.0,8.0,5.89,0.733,1,2073600.0,1,3300.0,4,0,0.4,32768.0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
Z2,4.0,80,2016,121.5,63.0,10.8,4.48,0.595,1,384000.0,1,1500.0,4,0,0.58,8192.0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0
Galaxy Note7 (USA),5.7,760,2016,153.5,73.9,7.9,5.96,0.79,1,3686400.0,1,3500.0,4,1,0.5218382352941175,65536.0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
Galaxy Note7,5.7,850,2016,153.5,73.9,7.9,5.96,0.78,1,3686400.0,1,3500.0,4,1,0.25,65536.0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
