,Technology,2G bands,3G bands,4G bands,Speed,Announced,Status,Dimensions,Weight,Build,SIM,Type,Size,Resolution,OS,Chipset,CPU,GPU,Card slot,Internal,Single,Video,3.5mm jack,WLAN,Bluetooth,GPS,USB,Sensors,,SAR EU,Price,Features,NFC,Protection,Triple,Charging,SAR,5G,Quad,Dual,Performance,Display,Camera,Audio quality,GPRS,EDGE,Infrared port,removable_B
Galaxy A2 Core,GSM / HSPA / LTE,GSM 900 / 1800 - SIM 1 & SIM 2 (Dual SIM model only),HSDPA 900 / 2100 - A260F/DS,"LTE band 1(2100), 3(1800), 7(2600), 8(900), 20(800) - A260F/DS","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","2019, April","Available. Released 2019, April",141.6 x 71 x 9.1 mm (5.57 x 2.80 x 0.36 in),142 g (5.01 oz),,"Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)","PLS TFT capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~68.6% screen-to-body ratio)","540 x 960 pixels, 16:9 ratio (~220 ppi density)",Android 8.0 Oreo (Go edition),Exynos 7870 Octa (14 nm),Octa-core 1.6 GHz Cortex-A53,Mali-T830 MP1,"microSD, up to 256 GB (dedicated slot)","8/16 GB, 1 GB RAM","5 MP, f/2.2",,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.2, A2DP, LE","Yes, with A-GPS, GLONASS, BDS","microUSB 2.0, USB On-The-Go","Accelerometer, proximity",Removable Li-Ion 2600 mAh battery,0.53 W/kg (head) 1.09 W/kg (body),About 70 EUR,"LED flash, HDR",,,,,,,,,,,,,,,,Removable
Galaxy M30,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 1900 / 2100,"LTE band 1(2100), 3(1800), 5(850), 8(900), 20(800), 40(2300), 41(2500)","HSPA, LTE-A","2019, February","Available. Released 2019, March",159 x 75.1 x 8.5 mm (6.26 x 2.96 x 0.33 in),174 g (6.14 oz),"Front glass, plastic body","Dual SIM (Nano-SIM, dual stand-by)","Super AMOLED capacitive touchscreen, 16M colors","6.4 inches, 100.5 cm2 (~84.2% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~403 ppi density)","Android 8.1 (Oreo), upgradable to Android 9.0 (Pie); One UI",Exynos 7904 (14 nm),Octa-core (2x1.8 GHz Cortex-A73 & 6x1.6 GHz Cortex-A53),Mali-G71 MP2,"microSD, up to 1 TB (dedicated slot)","128 GB, 6 GB RAM or 64 GB, 4 GB RAM","16 MP, f/2.0",1080p@30fps,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.0, A2DP, LE","Yes, with A-GPS, GLONASS, BDS","2.0, Type-C 1.0 reversible connector","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",Non-removable Li-Po 5000 mAh battery,,About 260 EUR,HDR,,,"13 MP, f/1.9, PDAF 5 MP, f/2.2, 12mm (ultrawide) 5 MP, f/2.2, depth sensor",Fast battery charging 15W,0.41 W/kg (head),,,,Basemark OS II: 1956 / Basemark OS II 2.0: 1432Basemark X: 12223,Contrast ratio: Infinite (nominal),Photo / Video,Noise -90.5dB / Crosstalk -90.0dB,,,,Non-removable
Galaxy M20,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 1900 / 2100,"LTE band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 20(800), 38(2600), 40(2300), 41(2500)","HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat12 600/50 Mbps","2019, January","Available. Released 2019, February",156.4 x 74.5 x 8.8 mm (6.16 x 2.93 x 0.35 in),186 g (6.56 oz),"Front glass, plastic body","Dual SIM (Nano-SIM, dual stand-by)","PLS TFT capacitive touchscreen, 16M colors","6.3 inches, 97.4 cm2 (~83.6% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~409 ppi density)","Android 8.1 (Oreo), upgradable to Android 9.0 (Pie); One UI",Exynos 7904 (14 nm),Octa-core (2x1.8 GHz Cortex-A73 & 6x1.6 GHz Cortex-A53),Mali-G71 MP2,"microSD, up to 1 TB (dedicated slot)","64 GB, 4 GB RAM or 32 GB, 3 GB RAM","8 MP, f/2.0, 25mm (wide)",1080p@30fps,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","5.0, A2DP, LE","Yes, with A-GPS, GLONASS, BDS","2.0, Type-C 1.0 reversible connector","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",Non-removable Li-Po 5000 mAh battery,0.25 W/kg (head) 1.59 W/kg (body),About 230 EUR,HDR,,,,Fast battery charging 15W,,,,"13 MP, f/1.9, 1/3.1"", 1.12µm, PDAF 5 MP, f/2.2, 12mm (ultrawide)",Basemark OS II: 2025 / Basemark OS II 2.0: 1846Basemark X: 8434,"Contrast ratio: 1333:1 (nominal), 2.960 (sunlight)",Photo / Video,Noise -90.5dB / Crosstalk -91.7dB,,,,Non-removable
Galaxy M10,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 2100,"LTE band 1(2100), 3(1800), 5(850), 8(900), 20(800), 38(2600), 40(2300), 41(2500)","HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat6 300/50 Mbps","2019, January","Available. Released 2019, February",155.6 x 75.6 x 7.7 mm (6.13 x 2.98 x 0.30 in),163 g (5.75 oz),"Front glass, plastic body","Dual SIM (Nano-SIM, dual stand-by)","PLS TFT capacitive touchscreen, 16M colors","6.22 inches, 96.6 cm2 (~82.1% screen-to-body ratio)","720 x 1520 pixels, 19:9 ratio (~270 ppi density)","Android 8.1 (Oreo), upgradable to Android 9.0 (Pie); One UI",Exynos 7870 Octa (14 nm),Octa-core 1.6 GHz Cortex-A53,Mali-T830 MP1,"microSD, up to 1 TB (dedicated slot)","32 GB, 3 GB RAM or 16 GB, 2 GB RAM","5 MP, f/2.0, 32mm (normal)",1080p@30fps,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.2, A2DP, LE","Yes, with A-GPS, GLONASS, BDS",microUSB 2.0,"Accelerometer, proximity",Non-removable Li-Ion 3400 mAh battery,0.24 W/kg (head) 1.53 W/kg (body),About 100 EUR,HDR,,,,,0.24 W/kg (head),,,"13 MP, f/1.9, 27mm (wide), 1/3.1"", 1.12µm, PDAF 5 MP, f/2.2, 12mm (ultrawide)",Basemark OS II: 1184 / Basemark OS II 2.0: 1071Basemark X: 5583,Contrast ratio: 1182:1,Photo / Video,Noise -90.7dB / Crosstalk -94.5dB,,,,Non-removable
Galaxy A80,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 12(700), 13(700), 17(700), 20(800), 26(850), 28(700), 38(2600), 40(2300), 41(2500), 66(1700/2100)","HSPA 42.2/5.76 Mbps, LTE-A (3CA) Cat11 600/75 Mbps","2019, April","Available. Released 2019, May",165.2 x 76.5 x 9.3 mm (6.50 x 3.01 x 0.37 in),220 g (7.76 oz),"Front glass (Gorilla Glass 3), back glass (Gorilla Glass 6), aluminum frame","Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)","Super AMOLED capacitive touchscreen, 16M colors","6.7 inches, 108.4 cm2 (~85.8% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~393 ppi density)",Android 9.0 (Pie); One UI,Qualcomm SDM730 Snapdragon 730 (8 nm),Octa-core (2x2.2 GHz Kryo 470 Gold & 6x1.8 GHz Kryo 470 Silver),Adreno 618,No,"128 GB, 8 GB RAM",,"2160p@30fps, 1080p@30/60fps (gyro-EIS)",No,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.0, A2DP, LE","Yes, with A-GPS, GLONASS, GALILEO, BDS","2.0, Type-C 1.0 reversible connector","Fingerprint (under display), accelerometer, gyro, proximity, compass",Non-removable Li-Po 3700 mAh battery,0.22 W/kg (head) 1.43 W/kg (body),About 650 EUR,"LED flash, HDR",Yes,Corning Gorilla Glass 3,Motorized pop-up rotating main camera module,Fast battery charging 25W,,,,,Basemark OS II 2.0: 3268 / Basemark X: 33811,,Photo / Video,,,,,Non-removable
Galaxy A70,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),HSDPA 850 / 900 / 1900 / 2100,"LTE band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 20(800), 38(2600), 40(2300), 41(2500)","HSPA, LTE-A","2019, March","Available. Released 2019, April",164.3 x 76.7 x 7.9 mm (6.47 x 3.02 x 0.31 in),183 g (6.46 oz),"Front glass, plastic body","Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)","Super AMOLED capacitive touchscreen, 16M colors","6.7 inches, 108.4 cm2 (~86.0% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~393 ppi density)",Android 9.0 (Pie); One UI,Qualcomm SDM675 Snapdragon 675 (11 nm),Octa-core (2x2.0 GHz Kryo 460 Gold & 6x1.7 GHz Kryo 460 Silver),Adreno 612,"microSD, up to 1 TB (dedicated slot)","128 GB, 6/8 GB RAM","32 MP, f/2.0, 0.8µm",1080p@30fps,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.0, A2DP, LE","Yes, with A-GPS, GLONASS, GALILEO, BDS","2.0, Type-C 1.0 reversible connector","Fingerprint (under display), accelerometer, gyro, proximity, compass",Non-removable Li-Po 4500 mAh battery,0.35 W/kg (head) 1.48 W/kg (body),About 330 EUR,HDR,Yes (market dependent),Corning Gorilla Glass 3,"32 MP, f/1.7, PDAF 8 MP, f/2.2, 12mm (ultrawide) 5 MP, f/2.2, depth sensor",Fast battery charging 25W,,,,,Basemark OS II: 2814 / Basemark OS II 2.0: 2737Basemark X: 19341,Contrast ratio: Infinite (nominal),Photo / Video,Noise -93.5dB / Crosstalk -92.4dB,,,,Non-removable
Galaxy A60,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),HSDPA 850 / 900 / 1900 / 2100,"LTE band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 34(2000), 38(2600), 39(1900), 40(2300), 41(2500)","HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat6 400/50 Mbps","2019, April","Available. Released 2019, June",155.3 x 73.9 x 7.9 mm (6.11 x 2.91 x 0.31 in),168 g (5.93 oz),,"Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)","PLS TFT capacitive touchscreen, 16M colors","6.3 inches, 97.4 cm2 (~84.9% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~409 ppi density)",Android 9.0 (Pie); One UI,Qualcomm SDM675 Snapdragon 675 (11 nm),Octa-core (2x2.0 GHz Kryo 460 Gold & 6x1.7 GHz Kryo 460 Silver),Adreno 612,"microSD, up to 1 TB (uses shared SIM slot)","128 GB, 6 GB RAM","16 MP, f/2.0",1080p@30fps,No,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.0, A2DP, LE","Yes, with A-GPS, GLONASS, GALILEO, BDS","2.0, Type-C 1.0 reversible connector","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",Non-removable Li-Po 3500 mAh battery,0.27 W/kg (head) 1.17 W/kg (body),About 290 EUR,HDR,Yes,,"32 MP, f/1.7, 0.8µm, PDAF 8 MP, f/2.2, 12mm (ultrawide), 1.12µm, PDAF 5 MP, f/2.2, depth sensor",Fast battery charging 15W,,,,,,,,,,,,Non-removable
Galaxy A50,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),HSDPA 850 / 900 / 1900 / 2100,"LTE band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 20(800), 38(2600), 40(2300), 41(2500)","HSPA, LTE-A","2019, February","Available. Released 2019, March",158.5 x 74.7 x 7.7 mm (6.24 x 2.94 x 0.30 in),166 g (5.86 oz),"Front glass, plastic body","Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)","Super AMOLED capacitive touchscreen, 16M colors","6.4 inches, 100.5 cm2 (~84.9% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~403 ppi density)",Android 9.0 (Pie),Exynos 9610 (10nm),Octa-core (4x2.3 GHz Cortex-A73 & 4x1.7 GHz Cortex-A53),Mali-G72 MP3,"microSD, up to 1 TB (dedicated slot)","128 GB, 4/6 GB RAM or 64 GB, 4 GB RAM","25 MP, f/2.0, 25mm (wide)",1080p@30fps,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.0, A2DP, LE","Yes, with A-GPS, GLONASS, GALILEO, BDS","2.0, Type-C 1.0 reversible connector","Fingerprint (under display), accelerometer, gyro, proximity, compass",Non-removable Li-Po 4000 mAh battery,0.27 W/kg (head) 1.39 W/kg (body),About 250 EUR,HDR,Yes (market dependent),Corning Gorilla Glass 3,"25 MP, f/1.7, 26mm (wide), PDAF 8 MP, f/2.2, 13mm (ultrawide) 5 MP, f/2.2, depth sensor",Fast battery charging 15W,,,,,Basemark OS II: 2292 / Basemark OS II 2.0: 2209Basemark X: 19106,Contrast ratio: Infinite (nominal),Photo / Video,Noise -93.4dB / Crosstalk -92.3dB,,,,Non-removable
Galaxy A40,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),HSDPA 850 / 900 / 1900 / 2100,"LTE band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 20(800), 38(2600), 40(2300), 41(2500)","HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat12 600/150 Mbps","2019, March","Available. Released 2019, April",144.4 x 69.2 x 7.9 mm (5.69 x 2.72 x 0.31 in),140 g (4.94 oz),"Front glass, plastic body","Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)","Super AMOLED capacitive touchscreen, 16M colors","5.9 inches, 85.5 cm2 (~85.5% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~437 ppi density)",Android 9.0 (Pie),Exynos 7904 (14 nm),Octa-core (2x1.77 GHz Cortex-A73 & 6x1.59 GHz Cortex-A53),Mali-G71 MP2,"microSD, up to 1 TB (dedicated slot)","64 GB, 4 GB RAM","25 MP, f/2.0, 25mm (wide)",1080p@30fps,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.0, A2DP, LE","Yes, with A-GPS, GLONASS, GALILEO, BDS","3.1, Type-C 1.0 reversible connector","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",Non-removable Li-Po 3100 mAh battery,0.49 W/kg (head) 1.34 W/kg (body),About 220 EUR,"LED flash, panorama, HDR",Yes,Corning Gorilla Glass 3,,Fast battery charging 15W,,,,"16 MP, f/1.7, 26mm (wide), PDAF 5 MP, f/2.2, 13mm (ultrawide)",Basemark OS II: 1804 / Basemark OS II 2.0: 1723Basemark X: 12098,Contrast ratio: infinite,Photo / Video,Noise -91.0dB / Crosstalk -85.9dB,,,,Non-removable
Galaxy A30,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),HSDPA 850 / 900 / 1900 / 2100,"LTE band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 20(800), 38(2600), 40(2300), 41(2500)","HSPA, LTE-A","2019, February","Available. Released 2019, March",158.5 x 74.7 x 7.7 mm (6.24 x 2.94 x 0.30 in),165 g (5.82 oz),"Front glass, plastic body","Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)","Super AMOLED capacitive touchscreen, 16M colors","6.4 inches, 100.5 cm2 (~84.9% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~403 ppi density)",Android 9.0 (Pie),Exynos 7904 (14 nm),Octa-core (2x1.8 GHz Cortex-A73 & 6x1.6 GHz Cortex-A53),Mali-G71 MP2,"microSD, up to 1 TB (dedicated slot)","64 GB, 4 GB RAM or 32 GB, 3 GB RAM","16 MP, f/2.0",1080p@30fps,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.0, A2DP, LE","Yes, with A-GPS, GLONASS, BDS","2.0, Type-C 1.0 reversible connector","Fingerprint (rear-mounted), accelerometer, proximity, compass",Non-removable Li-Po 4000 mAh battery,0.25 W/kg (head) 1.17 W/kg (body),About 230 EUR,"LED flash, panorama, HDR",,Corning Gorilla Glass 3,,Fast battery charging 15W,,,,"16 MP, f/1.7, PDAF 5 MP, f/2.2, 12mm, (ultrawide)",Basemark OS II: 1772 / Basemark OS II 2.0: 1388Basemark X: 11270,Contrast ratio: Infinite (nominal),Photo / Video,Noise -93.3dB / Crosstalk -88.9dB,,,,Non-removable
Galaxy A20e,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM only),HSDPA 850 / 900 / 1900 / 2100,"LTE band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 20(800), 38(2600), 40(2300)","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","2019, April","Available. Released 2019, May",147.4 x 69.7 x 8.4 mm (5.80 x 2.74 x 0.33 in),141 g (4.97 oz),"Front glass, plastic body","Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)","PLS TFT capacitive touchscreen, 16M colors","5.8 inches, 82.6 cm2 (~80.4% screen-to-body ratio)","720 x 1560 pixels, 19.5:9 ratio (~296 ppi density)",Android 9.0 (Pie); One UI,Exynos 7884 (14 nm),Octa-core (2x1.6 GHz Cortex-A73 & 6x1.35 GHz Cortex-A53),Mali-G71 MP2,"microSD, up to 1 TB (dedicated slot)","32 GB, 3 GB RAM","8 MP, f/2.0",,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","5.0, A2DP, LE","Yes, with A-GPS, GLONASS, GALILEO, BDS","2.0, Type-C 1.0 reversible connector","Fingerprint (rear-mounted), accelerometer, proximity, compass",Non-removable Li-Po 3000 mAh battery,0.50 W/kg (head) 1.30 W/kg (body),About 180 EUR,"LED flash, panorama, HDR",Yes,,,Fast battery charging 15W,,,,"13 MP, f/1.9, 28mm (wide), AF 5 MP, f/2.2, 12mm (ultrawide)",,,,,,,,Non-removable
Galaxy A20,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM only),HSDPA 850 / 900 / 1900 / 2100,"LTE band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 20(800), 38(2600), 40(2300), 41(2500)","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","2019, March","Available. Released 2019, April",158.4 x 74.7 x 7.8 mm (6.24 x 2.94 x 0.31 in),169 g (5.96 oz),"Front glass, plastic body","Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)","Super AMOLED capacitive touchscreen, 16M colors","6.4 inches, 100.5 cm2 (~85.0% screen-to-body ratio)","720 x 1560 pixels, 19.5:9 ratio (~268 ppi density)",Android 9.0 (Pie); One UI,Exynos 7884 (14 nm),Octa-core (2x1.6 GHz Cortex-A73 & 6x1.35 GHz Cortex-A53),Mali-G71 MP2,"microSD, up to 1 TB (dedicated slot)","32 GB, 3 GB RAM","8 MP, f/2.0",,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","5.0, A2DP, LE","Yes, with A-GPS, GLONASS, BDS","2.0, Type-C 1.0 reversible connector, USB On-The-Go","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",Non-removable Li-Po 4000 mAh battery,0.23 W/kg (head) 1.38 W/kg (body),About 200 EUR,"LED flash, panorama, HDR",Yes (market/region dependent),,,Fast battery charging 15W,,,,"13 MP, f/1.9, 28mm (wide), AF 5 MP, f/2.2, 12mm (ultrawide)",,,,,,,,Non-removable
Galaxy A10,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM only),HSDPA 850 / 900 / 1900 / 2100,"LTE band 1(2100), 2(1900), 3(1800), 5(850), 7(2600), 8(900), 20(800), 38(2600), 40(2300), 41(2500)","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","2019, February","Available. Released 2019, March",155.6 x 75.6 x 7.9 mm (6.13 x 2.98 x 0.31 in),168 g (5.93 oz),"Front glass, plastic body","Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.2 inches, 95.9 cm2 (~81.6% screen-to-body ratio)","720 x 1520 pixels, 19:9 ratio (~271 ppi density)",Android 9.0 (Pie),Exynos 7884 (14 nm),Octa-core (2x1.6 GHz Cortex-A73 & 6x1.35 GHz Cortex-A53),Mali-G71 MP2,"microSD, up to 1 TB (dedicated slot)","32 GB, 2 GB RAM","5 MP, f/2.0",,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","5.0, A2DP, LE","Yes, with A-GPS, GLONASS, GALILEO, BDS",microUSB 2.0,"Accelerometer, proximity",Non-removable Li-Ion 3400 mAh battery,0.32 W/kg (head) 1.09 W/kg (body),About 120 EUR,LED flash,,,,,,,,,,,,,,,,Non-removable
Galaxy Tab S5e,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 12(700), 13(700), 17(700), 20(800), 28(700), 38(2600), 40(2300), 41(2500), 66(1700/2100)","HSPA, LTE-A","2019, February","Available. Released 2019, April",245 x 160 x 5.5 mm (9.65 x 6.30 x 0.22 in),400 g (14.11 oz),"Front glass, aluminum body",Nano-SIM,"Super AMOLED capacitive touchscreen, 16M colors","10.5 inches, 319.7 cm2 (~81.6% screen-to-body ratio)","1600 x 2560 pixels, 16:10 ratio (~288 ppi density)",Android 9.0 (Pie); One UI,Qualcomm SDM670 Snapdragon 670 (10 nm),Octa-core (2x2.0 GHz 360 Gold & 6x1.7 GHz Kryo 360 Silver),Adreno 615,"microSD, up to 1 TB (dedicated slot)","128 GB, 6 GB RAM or 64 GB, 4 GB RAM","8 MP, f/2.0, 26mm, 1/4.0"", 1.12µm",1080p@30fps,No,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.0, A2DP, LE","Yes, with A-GPS, GLONASS, BDS, GALILEO","3.1, Type-C 1.0 reversible connector; magnetic connector","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass",Non-removable Li-Po 7040 mAh battery,1.03 W/kg (head),About 410 EUR,"LED flash, HDR, panorama",,,,Fast battery charging 18W,,,,,,,,,,,,Non-removable
Galaxy Tab A 10.1 (2019),GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 12(700), 17(700), 20(800), 28(700), 38(2600), 40(2300), 66(1700/2100)","HSPA, LTE-A","2019, February","Available. Released 2019, April",245.2 x 149.4 x 7.5 mm (9.65 x 5.88 x 0.30 in),469 g (1.03 lb),"Front glass, aluminum body",Nano-SIM,"IPS LCD capacitive touchscreen, 16M colors","10.1 inches, 295.8 cm2 (~80.7% screen-to-body ratio)","1200 x 1920 pixels, 16:10 ratio (~224 ppi density)",Android 9.0 (Pie); One UI,Exynos 7904 (14 nm),Octa-core (2x1.8 GHz Cortex-A73 & 6x1.6 GHz Cortex-A53),Mali-G71 MP2,"microSD, up to 1 TB (dedicated slot)","64/128 GB, 3 GB RAM or 32 GB, 2 GB RAM","5 MP, f/2.2",1080p@30fps,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.0, A2DP, LE","Yes, with A-GPS, GLONASS, GALILEO, BDS","2.0, Type-C 1.0 reversible connector","Accelerometer, gyro, compass",Non-removable Li-Po 6150 mAh battery,1.36 W/kg (head),About 220 EUR,"LED flash, panorama",,,,,,,,,,,,,,,,Non-removable
Galaxy Tab A 8.0 & S Pen (2019),GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 12(700), 17(700), 20(800), 28(700), 38(2600), 40(2300), 41(2500), 66(1700/2100)","HSPA, LTE-A","2019, March","Available. Released 2019, April",201.5 x 122.4 x 8.9 mm (7.93 x 4.82 x 0.35 in),325 g (11.46 oz),,Nano-SIM,"IPS LCD capacitive touchscreen, 16M colors","8.0 inches, 185.6 cm2 (~75.2% screen-to-body ratio)","1200 x 1920 pixels, 16:10 ratio (~283 ppi density)",Android 9.0 (Pie); One UI,Exynos 7904 (14 nm),Octa-core (2x1.8 GHz Cortex-A73 & 6x1.6 GHz Cortex-A53),Mali-G71 MP2,"microSD, up to 1 TB (dedicated slot)","32 GB, 3 GB RAM","5 MP, f/2.2",1080p@30fps,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.0, A2DP, LE","Yes, with A-GPS, GLONASS, GALILEO, BDS","2.0, Type-C 1.0 reversible connector","Accelerometer, proximity",Non-removable Li-Po 4200 mAh battery,0.68 W/kg (head) 1.50 W/kg (body),,"LED flash, panorama",,,,,,,,,,,,,,,,Non-removable
Galaxy Tab Advanced2,No cellular connectivity,,,,,"2018, November","Available. Released 2018, December",250.4 x 166.2 x 8.5 mm (9.86 x 6.54 x 0.33 in),525 g (1.16 lb),,No,"IPS LCD capacitive touchscreen, 16M colors","10.1 inches, 295.8 cm2 (~71.1% screen-to-body ratio)","1200 x 1920 pixels, 16:10 ratio (~224 ppi density)",Android 8.0 (Oreo),Exynos 7870 Octa (14 nm),Octa-core 1.6 GHz Cortex-A53,Mali-T830 MP1,"microSD, up to 400 GB (dedicated slot)","32 GB, 3 GB RAM",2 MP,1080p@30fps,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","4.2, A2DP, LE","Yes, with GLONASS",Yes,Accelerometer,Non-removable Li-Po 7300 mAh battery,,About 200 EUR,"LED flash, panorama",,,,,,,,,,,,,No,No,,Non-removable
